,User,Date Created,Tweet
34,citradeviaa,2023-01-09 16:43:43+00:00,"Sebenernya lega karna sidangnya buat semester 7 magang ini udah selese, karna looking back, aku banyak anxiety, cemas berlebihan karna magang ini. Tapi agak kurang ngena gitu karna penutupannya pake diseminasi yg tegangnya ga segede sidang, jadi pas selese ga plong yg banget"
35,aldynogp,2023-01-09 16:42:02+00:00,Siang makan nasi malam anxiety.
36,tyongbbyy,2023-01-09 16:39:50+00:00,ya Allah takut anxiety gua tiba2 muncul
37,River_Inspire,2023-01-09 16:34:31+00:00,"""mindset anxiety pencil mindset slide pencil"" - Juan Cunningham"
38,SaulRaja,2023-01-09 16:32:09+00:00,"Masao si kepala Onigiri: I swear to God this kid has anxiety, pasrah main Rumah2an nyata sama Nene walau perannya selalu suami yang karirnya jelek. Cita-cita pengen jadi penulis komik, tapi diketawain sama Pak Yoshito, sampai nangis dia. 😂 8/10 https://t.co/Iy3uS1BXlV"
39,tam77896650,2023-01-09 16:17:04+00:00,"@daynerds @sofiahd17 @BerlineQueene @Anxiety_Queen05 @qiudai3 
7fh6l-hw6nb-qs4hg-o37cd-pcrbx-v4yd7-igbnz-fo7ku-fmya5-mgypp-bae"
40,bbearvee,2023-01-09 16:12:34+00:00,sp yg anxiety tiap buka ig? 😭✋
41,Fakta2WOW,2023-01-09 16:02:52+00:00,"Anak perempuan lebih banyak
menderita kecemasan matematika
(Math Anxiety) daripada anak laki-
laki. (jurnal Behavioral and Brain
Functions)"
42,FarisRosly,2023-01-09 15:56:15+00:00,"Dipandang tinggi-dipandang tinggi, last2 anxiety. Damn"
43,mindtropic,2023-01-09 15:55:09+00:00,"Saya nak kongsi satu rahsia yang boleh bantu....
✅ turunkan hormon stres
✅ kawal simptom anxiety
✅ lebih mudah tidur

Nak tahu apa rahsianya? Komen ""NAK"" dekat bawah okay.

#EskayvieMindtropic
#EskayvieMalaysia
#JanganStresStres
#BrainWellness"
44,mindtropic,2023-01-09 15:55:01+00:00,"Anda ada masalah STRES, ANXIETY atau TAK BOLEH TIDUR? Tapi tak tahu macam mana selesaikan masalah anda!

Jangan Stres Stres! Anda tidak keseorangan. Ramai sebenarnya yang ada masalah yang sama dengan anda. Jangan malu untuk kongsikan pada orang lain."
45,hfndhrhhh,2023-01-09 15:54:49+00:00,"before game kena anxiety attack, my whole body panas sangat sampai sakit kepala yang teramat. shaking teruk , leps second half tukar dengan player lain then suddenly i cry sebab cant control myself sebab sakit sangat. im sorry team. it was my fault 😔"
46,minxtzu,2023-01-09 15:49:13+00:00,"Anxiety + stress level &gt;&gt;&gt;&gt;&gt;&gt;&gt;

And they said “Siapa suruh memilih jalan hidup yg seperti itu” thx for the words bruh ik i’ve fked up my life choice😭"
47,Proletarry,2023-01-09 15:47:23+00:00,"033.

Seperti hantu. Hantu wanita putih yang menghirup kehidupan prang-orang di sekitarnya. [Elphira, 24]

💭 sedih. Apalagi pas papa mimisan setelah dansa terus pingsan kek mau sekarat. Elphira sampai masuk lemari baju, pasti dia kena anxiety, nangis banget."
48,ThisUserIsNPC,2023-01-09 15:42:05+00:00,"Ngaruh bangetttt
Jadi kenal anxiety, insecurities, overthinking, trust issues, semua yg jelek2 dah. Padahal dulu ga sesuram ini deh hidupku akakak"
49,crocell_bestboy,2023-01-09 15:37:23+00:00,"Tadi baca kenma anxiety, sekarang baca kaashi stress overwork :)"
50,aggidilimanto,2023-01-09 15:33:25+00:00,"W selalu menghindari argumen gegara my anxiety ass will just starts crying instead, tapi kalo ada stranger colek2 pipi ponakan w sih beneran pasang badan."
51,syifaF13,2023-01-09 15:32:26+00:00,"lah buset orang kena macet ga boleh marah. orang di jakarta udah kena macet pulang pergi tiap hari, terus diuji sabar apa engga layak apa engga jadi pacar karena kemacetan. 

ada orang yang anxiety sampe ke psikolog karena kemacetan. 

sesuai deh ama nama u seterahdeh"
52,rizawardhana,2023-01-09 15:30:20+00:00,"Memang benar. Tidak banyak tahu itu menentramkan. Sekalinya banyak tahu informasi, anxiety."
53,LittleGorillaa,2023-01-09 15:25:42+00:00,Anxiety attack . ingat kan balik boleh terus tidur tapi tak hmm
54,soaringpetaIs,2023-01-09 15:17:14+00:00,separation anxiety akhirnya ada di spotify jugaaaaa
55,bling2tersedak,2023-01-09 15:16:13+00:00,"Dugaan kmi lepas satu satu haih laa mcm2 hal, nasib la kmi assemble klaw hadap sorg bodo bleh anxiety blik sial aku"
56,bcthub,2023-01-09 15:15:39+00:00,tiada hari tanpa whatsapp anxiety 💀
57,kurokage_20,2023-01-09 15:13:34+00:00,@convomfs Anak perempuan pertama tuh perfectionist sampe punya anxiety
58,cielalaa,2023-01-09 15:11:29+00:00,anxiety gue kumat lagi asu
59,ManishG70212590,2023-01-09 15:02:32+00:00,Anxiety kya hota hai aaj pta chal gya #ICAI #cainterresult
60,SHIROISHl,2023-01-09 15:01:27+00:00,"TAPI kalo sender langsung asal nyablak ""eh ma aku punya social anxiety"" ya gue paham sih knp ibunya marah soalnya ya lo ngapain self diagnose gitu...ibunya mungkin marah gara2 anaknya asal ngomong padahal belum konsul atau didiagnosis scr resmi gt mungkin? But that's a reach :/"
61,moviemenfes,2023-01-09 14:55:00+00:00,Saran mvs buat nenangin anxiety/mancing nangis dong. Thanks!
62,daffaalfalah_,2023-01-09 14:45:26+00:00,"Kenapa jam 9-10 tuh jalannya cepeetttt bgt, ga pagi ga malem. Anxiety selalu naik di jam segitu."
63,konsletanlife,2023-01-09 14:42:17+00:00,"@radenrauf Lembur nih om Rauf,,bisa dilanjut besok sih, tp anxiety ku berkata tidak, wkwkwk"
64,ftnrlyn_,2023-01-09 14:40:23+00:00,"Suruh stayback tak hit target pun sibuk merentan kata mood disoder lah anxiety lah, minta involve ajk event pun kau taknak, buat company trip pun kerja kau complain, leader pun kau tak respect, cawan dah minum pun main tinggal je orang lain cucikan and still wonder kenapa x naik?"
65,laysnackentang,2023-01-09 14:35:52+00:00,"ternyata aku ga introvert, tapi social anxiety gais"
66,ftnrlyn_,2023-01-09 14:32:34+00:00,Payah juga eh ada otak tak betul kat office ni. Aku takde masalah kalau orang anxiety bagai ni ataupun ada issue mental yg lain ke. Dia jadi masalah kalau idgaf about you eh tetiba nak buat kita jadi bahan content kau. Memang aku doa je biar sakit mental kau takde ubatnya
67,deepmeter,2023-01-09 14:26:30+00:00,"fuck anxiety, akan gue hadapi semuanya sendiri."
68,LlucCillee,2023-01-09 14:24:00+00:00,"Gw gak tau sm skali tentang anxiety, pas gw search ternyata smua ciri ciri nya ada pd gw😂"
69,Amsyarshukri,2023-01-09 14:19:13+00:00,"Ada masa pasangan kita mai mood tak menentu. Contohnya, waktu Marah, Stress, Depression, Anxiety, Happy, Sad.. anything anytime tanpa sebab ""kadang"" boleh jadi."
70,heyy____jyoti,2023-01-09 14:18:46+00:00,@MehlkaKhan1 @BollySpy Hnn or Priyanka fans uski body saming age looks anxiety depression par majk bna re vo ky hai usko death rape ki damki dare vo ky hai  humanity nhi h tumlogo m yhi kar sakte hai jaggaa fans
71,_puncoder,2023-01-09 14:17:31+00:00,"Company ka diya hua sab kuch hai. Stress hai, Anxiety hai, Depression hai, Hike ke naam pe 2.5% hai.
Kaafi faila hua Work Life Imbalance hai. https://t.co/DF3jcT0pc2"
72,itsmooncrown,2023-01-09 14:17:15+00:00,Terimakasih ya diriku masih mau bertahan disini dan mampu melawan anxiety yang datang secara toba-tiba
73,fittmail,2023-01-09 14:12:51+00:00,"I tak cukup tido the whole night bcs batman was super loud meowing and vet kata dia ada separation anxiety. I meraung (yes i am) tepi dia tadi sbb i penat and tak cukup tido hsshhsh

Dia mcm faham the situation and dah kurang meow depan pintu. Meow kejap je then dia redha 😂"
74,Iordtoki,2023-01-09 13:55:19+00:00,@schfess Aku yang punya social anxiety : 😨
75,unlucky_anxiety,2023-01-09 13:55:01+00:00,@halleluhellyeah Linting isi rumput kertasnya sidu
76,pukisbonpolo,2023-01-09 13:54:15+00:00,"tiap anxiety kumat tu kepala selalu ikutan pusing, mana jd gabisa tidur :')"
77,yuno_yejun,2023-01-09 13:48:34+00:00,"@mayo_catvilla @gforgea @CoffeedCat @kochengfs Kak, bikin tweet resepnya dong.
Barangkali Yuno dan Yejun suka 😻

Asrama pria ini sangat anxiety ttg flutd."
78,euphoerie,2023-01-09 13:43:22+00:00,"anxiety pada minggu pertama hari senin, good."
79,Jagat___Janani,2023-01-09 13:41:26+00:00,@Invincible_Squi Bhut mil jate hai bina exp k bhi kamm pr lene wale ye freshers alag hi anxiety dte h itna kaam krk
80,bubee____,2023-01-09 13:39:34+00:00,"@radenrauf kesasar di jkt 99999x karna gak tau jalan, sendirian, macet, ditambah anxiety yg tak berkesudahan"
81,shzlinsmsul,2023-01-09 13:36:25+00:00,setiap kali bukak status terus anxiety attack penat ler penat
82,l00_kism,2023-01-09 13:34:03+00:00,@Askrlfess Liat kecelakaan. Bikin anxiety kambuh.
83,gombang,2023-01-09 13:33:09+00:00,@PutriPuuch kalau gw malah akan menghindari kasir seperti ini wkwkwkw. malah meningkatkan anxiety.
84,qajuha,2023-01-09 13:26:58+00:00,kalo tiap hari anxiety 📈 terus apa worth it
85,_HetLicht,2023-01-09 13:21:37+00:00,"@literarybase Buku-buku dari the school of life! Byk bgt temanya tinggal pilih mana yg km sedang butuhkan. Temanya ada mulai dari ttg relationship, anxiety, chilhood, sex dll"
86,pumpkinloofa,2023-01-09 13:18:18+00:00,"Miris sih, di sisi lain juga punya anxiety sm panic attack"
87,sunbii8,2023-01-09 13:15:41+00:00,"Saya dipikiran orang, ""Santai, Selo, suka becanda, ramah"". 
Saya dalam keadaan yang sebenarnya, ""D.I.D, OCD, PANIC ATTACK, ANXIETY DISORDER, BUMILIA""!

Saya gak baik-baik, tapi saya mau berusaha untuk bisa lebih baik. Alhamdulillah🤲💜😊
#mentalhealth"
88,mcflurry_oreoo,2023-01-09 13:12:51+00:00,hhhhh cape bgt anxiety ga sembuh”
89,meiracliffe,2023-01-09 13:10:34+00:00,kl bbrp bulan stlh putus ya suka anxiety + panic attack say 😘😘😘😘😘 tp kl ini ak dh sembuh ya *kdang msih sih tp ga triggered by him anymore &gt;_&lt;
90,fairlyprairie,2023-01-09 13:09:23+00:00,Tinggal di malaysia-indo high mobility. Pindah ke jerman naik pesawat bisa dihitung jari in 5 years. My travel anxiety just 📈📈
91,panaxburn,2023-01-09 13:04:40+00:00,"Ayuhlah kita bertenang dan setkan balik rutin tido awal. Jaga kesihatan mental juga perlu. Anxieties also go away with overthinking. 
Semoga bangun esok kita boleh teruskan hari dengan baik."
92,ntsh4hazsh4,2023-01-09 12:56:51+00:00,"Ada yg cakap kalau kita sebut "" aku ada anxiety / depression "" semata mata nak perhatian . Lol perhatian apanya ? Takde yg tanya "" kau okay ke "" reaction semua sama ada , jeling mata , tanya surat doctor , solat ke tidak bla bla bla 🤪"
93,aamalinasaid,2023-01-09 12:52:15+00:00,Paling anxiety kalau customer janji nak datang pukul 6pm tapi sampai now pukul 9pm tak sampai lagi😔 tau tak setiap minit menunggu tu rasa tak senang duduk asik check fon je takut tak perasan or lupa. Bila wasap cakap “kejap lgi sampai” tp dah berjam jam
94,albedotr,2023-01-09 12:51:01+00:00,besok gimana ya anjir anxiety
95,kdgyeoms,2023-01-09 12:45:04+00:00,@ngisagi KOCAK AHAHAH.. Udah tau punya anxiety bukannya ke psikiater malah nyari cewok anjir wkwk. Kocak sekali blio ini.
96,AryaSaputraR,2023-01-09 12:43:09+00:00,"Deg degan banget disandingin sama beliau beliau. 😭😭😭 
Aaaakkk yuk bisa yuk hempaskan semua anxiety itu. wkwkwkwkwkwkkkk"
97,Arinisastradev,2023-01-09 12:42:16+00:00,"Parno euyy, perasaan macam apa i ihhh, anxiety out bercampyur huhu"
98,nadaumairah,2023-01-09 12:33:40+00:00,Bestnya tgk gose lupa segala stress dan anxiety :(
99,luhan_owlie,2023-01-09 12:33:32+00:00,@_anxiety_01 Oha baya iyi
100,Vernewnchwe,2023-01-09 12:23:11+00:00,"10. Kapan ya? Bulan juli apa ya terakhir kmren wkwk
11. 🍺Soalnya ada unsur real
12. Anxiety ama urusan kerjaan, kluarga, study, sama self-development
13. Anjing lu, gw salah apa sampe di cut, di bub, kga inget dlu kita bgimana dah. 
14. Vernon- black eyes"
101,KhanXansa,2023-01-09 12:21:16+00:00,"chura k dil mera, anxiety chali 
TU ,ru,ru,ru,ru,ru,ru"
102,swiaina,2023-01-09 12:19:17+00:00,Scrolling medsos terus-terusan emang mujarab bikin anxiety dan overthinking meningkat 📈
103,DanealEh,2023-01-09 12:16:48+00:00,"Aku ni dah separuh jalan da ni nak berenti pod, tapi bila tengok tiktok ada satu vtt ni dia pos husband dia warded sebab berenti pod secara mengejut ahhh anxiety aku ni paras hidung dah ni."
104,otsuraa,2023-01-09 12:11:17+00:00,@ngisagi punya anxiety bknnya nyari psikolog malah nyari cowok 😔😔
105,shoyopies,2023-01-09 12:09:00+00:00,"@ngisagi aku cari ceok yang punya anxiety, pls dm 😔🥺🥺"
106,Silkynsarp,2023-01-09 12:03:59+00:00,"@mohdriy43871551 Kalyug sirf Vishwaguru mey hai

Globally riches incl Elon Musk r tweeting of anxiety of global recession to govts but here , apna nandu uske maalik ko kya ghati pilaa rahaa hai...nark mey swarg dikh raha hai adani ko🙄

Kasam se, nandu can sell ice to eskimo"
107,coffeellapple,2023-01-09 12:03:41+00:00,"Para pembully gk ngerti rasa nya trauma itu bisa random muncul tiba2, pdhl kita nya lg santai2 aja
Gatau rasa nya pas anxiety kambuh bikin mual - muntah, nangis ngejer, nafas tersengal2, tengkuk kepala - kaki tegang"
108,FebyPurnama,2023-01-09 12:03:07+00:00,"MRI kepala pada kasus ictal anxiety akan difokuskan pada lobus temporal.

Kembali mengingatkan bahwa penilaian klinis dan rencana tatalaksana harus dengan dokter ya. Jangan self-diagnose. Mudharatnya lebih banyak daripada manfaatnya.

Wassalam."
109,FebyPurnama,2023-01-09 12:01:44+00:00,"Terkait pemeriksaan yang objektif seperti EEG interiktal maupun iktal dan MRI kepala, pada ictal anxiety sering kita temukan keabnormalan."
110,Jageroar,2023-01-09 12:01:32+00:00,"@ssefnum So sorry to hear that… sender kalau berkenan bisa cerita sama gue gapapa. Serius, it’s not your fault. Gapapa emang Indonesia masih tabu soal kayak gitu. Having a social anxiety doesn’t mean you’re different from other! Semangat.. gue juga penyintas social anxiety kok."
111,FebyPurnama,2023-01-09 11:59:39+00:00,Gejala subjektif lain kita temukan pada ictal anxiety adalah banyak ditemukan deja vu dan halusinasi. Kadang pasien mengalami gejala depresi. Ictal juga dapat kita lihat adanya perbedaan antara kondisi normal dan ketakutan.
112,FebyPurnama,2023-01-09 11:57:34+00:00,Serangan panik primer sangat jarang terdapat automatisme. Sedangkan iktal seringkali berkembang menjadi tipe bangkitan onset fokal dengan gangguan kesadaran. Ciri khas ictal anxiety yang lain adalah sering pada malam hari yang membuat pasien tiba2 terbangun.
113,FebyPurnama,2023-01-09 11:54:49+00:00,"Kesadaran pasien dengan serangan panik primer selalu pada level sadar kontak adekuat, sedangkan pada ictal anxiety lama kelamaan akan terganggu.

Durasi primer sekitar 5-10 menit, sedangkan yang iktal adalah 0,5 - 2 menit, lebih sebentar."
114,magdlenaas,2023-01-09 11:54:30+00:00,"Kalau lagi anxiety cuma omongan “jangan takut, nanti mama dan papa doain. Pasti bisaa. Kamu makan aja dulu jangan lupa” yang bisa bikin hati tenang. Their supports is never enough! My shoulder is stronger just bcs theirs!!!"
115,chicnlit,2023-01-09 11:53:36+00:00,"Di tingkat ini, emang paling2 deh adu glajer &amp; perjuangannya. Sempet pas ujian, anxiety kumat. Pernah jg nangys2 usai dilecehkan secara intelektual #okeinilebay. Maksain belajar pas lg sakit kayaknya common things.

Happy finally terbayar juga semuanya.

Allah Maha Baik emang 💚"
116,FebyPurnama,2023-01-09 11:53:31+00:00,Sebuah utas tentang perbedaan serangan panik primer (primary anxiety) dengan panik iktal (ictal anxiety) - yang merupakan suatu bentuk bangkitan https://t.co/m3twNfQthr
117,najackro_,2023-01-09 11:48:43+00:00,"Mesti org lain ingat aku ni apa kan? Bukan apa lah... I bukan rapat sgt ngan my coursemate pon so memang aku anxiety lah aku nak cakap depan diorang. Diorang okay lah gelak2 semua masa member diorang lakon but asalkan sampau dkt aku, semua senyap and focus on me..."
118,najackro_,2023-01-09 11:47:13+00:00,First time aku buat roleplay in French pasal dkt restaurant pastu nak start tu dah nangis since i was 2nd turn. Anxiety naik sampai nangis kejap so madame bagi aku masa utk prepare...
119,aulsiey,2023-01-09 11:47:07+00:00,"tak kiro ndue anxiety disorder or sakit jantung, dadakno mikirno amu taii"
120,psychomujraa,2023-01-09 11:45:33+00:00,"Anxiety, depression kuch bhi nahi hai. Voh ek sardi jukaam hai. Muje COVID hua tha Mental Health ka.

Creative dialogue of #YoYoHoneySingh 😂 https://t.co/okpmH1LlmM"
121,linaliinnn,2023-01-09 11:38:40+00:00,WKWKWKWKW ANJINGGGGG PENYAKIT ANXIETY https://t.co/jtNmd4vk6q
122,aziz_sony,2023-01-09 11:18:13+00:00,"Anxiety - bila takut melampau, mggigil, panic attack, berdebar2..."
123,cookiezrav,2023-01-09 11:14:55+00:00,Dengernya aja udah sakit banget gimana sendernya (as someone who also have social anxiety) mau peluk sendernyaaa ㅜㅜ
124,_pajana_,2023-01-09 11:14:15+00:00,"Tiba-tiba down,tiba-tiba nak anxiety,cool balik bangun balik haa pusing balik macam tu jela life sekarang..semangat ya manis "")"
125,LostInntheCrowD,2023-01-09 11:12:42+00:00,"@prachiiiiiik @Arsenal Anxiety? Bhaii Madrid peecha kar rahi hai bhayankar, idhar bhi bhayankar anxiety ho rahi hai 😭😭"
126,afaiyahdeck,2023-01-09 11:11:44+00:00,Kalo nahan berak terus takut tai nya keluar termasuk anxiety ngak? https://t.co/NBynJR2IXw
127,inikambeng,2023-01-09 11:07:22+00:00,"@Askrlfess Yesss, in a really good way. Jadi lebih tau apa yang gw mau, suka, dan ga suka. Jadi lebih pd, bahkan overcoming my self proclaimed anxiety (belum sampe tahap anxiety sih wkwk, tapi gugup gitu). I also love my self more!"
128,MEKOng1227,2023-01-09 11:05:19+00:00,"SUMPAH KRS BIKIN STRESS + ANXIETY, dr kemaren mlm kerjaan ny gelud ama server kampus 😭😭"
129,aisyas66,2023-01-09 10:50:15+00:00,"@kembang_jalanan @whyuadd Blom ada pergerakan buat lungsuran lg yhh dari bokap 😔🙏🏻 Aku pake yg lungsuran aj begitu bala dikit sung anxiety gtu ama harganya 😭 dah, beli yg 150k aja mbaa biar klo rusak ga kit ati WKWKWK"
130,Dhairya__tweets,2023-01-09 10:46:32+00:00,"Itni anxiety itni anxiety, aaj tak nahi hui.  
#ICAI 
#caresult"
131,queendiiyy,2023-01-09 10:45:21+00:00,"@yennaei yakann, kalo aku wa tu bener² bikin anxiety kambuh 🥲🥲"
132,anisahmau,2023-01-09 10:38:07+00:00,awkward bgt nontonin story nikahan pada salaman sm pengantin. gmn kalo jd pengantin y ak anxiety :))))
133,ssefnum,2023-01-09 10:37:37+00:00,"usah ikut ikut social anxiety kamu"". aku... harus gimana ya..."
134,ssefnum,2023-01-09 10:32:50+00:00,"-rl cw tw // skripsi , tugas akhir , anxiety 

guys aku minta kata kata penenang kalian boleh gak? karna anxiety aku sering kumat apalagi banyak tekanan dari diri sendiri dan sekitar jadi rasanya kayak lagi dikejar kejar. mau take it slow tapi kalo panik gini malah (cont)"
135,onenonlyjenolee,2023-01-09 10:26:03+00:00,"He has no idea that his words calming my anxiety wkwk omg Allah bener2 bayar doa, kebaikan, n everything my moms been through

W gk kepedean bahwa every good things that happened bcs of me, caused w masih jauhhhhhh dr kata baik

Tp huhu ya Allah terima kasih 🙏🏻🥹"
136,taabestari,2023-01-09 10:21:02+00:00,tetap tenang disaat anxiety itu susah bgt
137,LuciferInChaos,2023-01-09 10:19:03+00:00,"@syababsalafy @damakusuma Ini mirip bpk saya. Tiap ketemu dokter ky cemas gitu jd tensinya naik mulu, tp udah beli tensimeter digital sih buat ngecek² di rumah. Semoga cm krn anxiety aja."
138,colaVINsky,2023-01-09 10:09:59+00:00,Anxiety sama notif apapun yang masuk
139,pericimikering,2023-01-09 09:58:29+00:00,anxiety jalur kerjaan
140,gaasukatimun,2023-01-09 09:52:45+00:00,"ini kalo misalnya khawatir berlebihan (bener-bener mega dasyat) sampe sesak nafas, nangis tiba-tiba itu masuknya masih cuma overthinking doang apa udah ke anxiety sih"
141,ayobermanfaat,2023-01-09 09:46:35+00:00,"Social anxiety plis atuhlah
Jangan meresahkan begini"
142,alsashafiera_,2023-01-09 09:41:11+00:00,"Capek bgt kl udah panic attack dan anxiety, kaya apa apa ga mood, tidur juga gabisa padahal cape + ngantuk bgt 😔 somebody help me"
143,Rain_usseles,2023-01-09 09:37:34+00:00,"Gua diam bukan gua marah, tapi PANIK ATTACK SOCIAL ANXIETY GUA KAMBUH ANJING seharusnya lu sebagai teman baik gua aja ngomong bukan nya diemin Tolol"
144,foxittie,2023-01-09 09:36:23+00:00,"Bipolar pt.1: lock down (ceritanya tentang bencana2 + sakit jiwa)
Bipolar pt.2: do 4 me (jatuh cinta)
Prelude of anxiety: anthem of teen spirit (berantem, bunuh2an)
Prelude of love: Hymn to love (cinta2an)

Intinya epex itu gambarin remaja depresi yang jadinya punya dua sisi"
145,anxiety_mbrk,2023-01-09 09:36:00+00:00,Akhir akhir ini kenapa begini ya. Rough months
146,lalalanau,2023-01-09 09:27:44+00:00,@Askrlfess Introvert itu diliat dri cara dia charging energy sama social battery dia lebih cpt habis di situasi yg gimana gtu setahukuu. Kalo kamu kyknya social anxiety deh nder. Cmiiw
147,yyoshikanemot0,2023-01-09 09:20:47+00:00,sosial anxiety itu ternyata gaenak ya?
